index,Median household income_value,Social associations_value,Access to exercise opportunities_value,Limited access to healthy foods_value,Long commute – driving alone_value,Rural_value,not proficient in English_value
"Autauga,AL",54487.0,13.912226497999999,0.7112019204000001,0.11991125,0.408,0.4200216232,0.0083273898
"Baldwin,AL",56460.0,11.045167371,0.6851891477,0.054244266,0.401,0.4227909911,0.0081880922
"Barbour,AL",32884.0,7.9278190947,0.5284262665,0.1073966657,0.35100000000000003,0.677896347,0.0151936998
"Bibb,AL",43079.0,10.627463136,0.4859262492,0.0260162701,0.488,0.6835260745999999,0.0044813743
"Blount,AL",47213.0,8.8429594438,0.32272077039999997,0.028801498199999997,0.602,0.8995150204000001,0.0187850605
"Bullock,AL",34278.0,9.349289453999999,0.2219168041,0.19743350739999999,0.377,0.5137438153,0.0095756476
"Butler,AL",35409.0,10.915947207,0.46040005729999994,0.029261219300000002,0.317,0.7123215734999999,0.008703859100000001
"Calhoun,AL",41778.0,14.01141671,0.4821711703,0.0917856658,0.294,0.33696825560000004,0.007096219599999999
"Chambers,AL",39530.0,18.169563051,0.6320911881,0.1032855828,0.325,0.49148034490000003,0.0035659545000000003
"Cherokee,AL",41456.0,10.05452647,0.36030628340000004,0.002211124,0.45899999999999996,0.8573627304000001,0.0006090134
"Chilton,AL",44188.0,16.612429739,0.4604403914,0.0146053096,0.47600000000000003,0.8674472423999999,0.024468864500000003
"Choctaw,AL",32691.0,20.501138952,0.27368497010000004,0.0729041905,0.456,1.0,0.0
"Clarke,AL",34061.0,19.047619047999998,0.4808965277,0.11154712300000001,0.349,0.7598033523000001,0.0023841962
"Clay,AL",38512.0,11.066027296,0.46310651740000003,0.0232687988,0.375,1.0,0.0053108404
"Cleburne,AL",43483.0,9.9880143827,0.4585893668,0.0207171577,0.504,1.0,0.0081676136
"Coffee,AL",48632.0,16.012184882,0.44630415630000003,0.0598120314,0.233,0.4719508289,0.0149718755
"Colbert,AL",46572.0,18.213930897,0.6450356434000001,0.0655170454,0.261,0.4389468656,0.0020275276
